Post ID,Platform,User ID,Post Content,Post Date,Likes,Comments,Shares
140,LinkedIn,252,Content of post #140 on LinkedIn,2023-05-06,1636,172,160
141,Twitter,934,Content of post #141 on Twitter,2023-09-26,3667,94,376
142,Facebook,458,Content of post #142 on Facebook,2023-02-14,3489,17,382
143,TikTok,35,Content of post #143 on TikTok,2023-07-25,3859,133,477
144,TikTok,2869,Content of post #144 on TikTok,2024-03-13,4475,34,358
145,Instagram,4491,Content of post #145 on Instagram,2024-01-14,404,32,150
146,TikTok,1055,Content of post #146 on TikTok,2023-12-18,2678,159,234
147,TikTok,2666,Content of post #147 on TikTok,2024-02-15,3229,26,79
148,Facebook,385,Content of post #148 on Facebook,2025-01-04,3287,15,107
149,TikTok,4240,Content of post #149 on TikTok,2023-11-15,2526,113,184
150,LinkedIn,4731,Content of post #150 on LinkedIn,2024-02-26,3367,172,336
151,Instagram,1164,Content of post #151 on Instagram,2025-01-18,4791,154,405
152,TikTok,2182,Content of post #152 on TikTok,2023-01-21,486,23,300
153,Twitter,4974,Content of post #153 on Twitter,2024-03-26,4639,82,479
154,LinkedIn,2478,Content of post #154 on LinkedIn,2023-06-28,4286,159,386
155,LinkedIn,759,Content of post #155 on LinkedIn,2024-11-11,2321,148,52
156,TikTok,3835,Content of post #156 on TikTok,2024-10-27,3690,53,172
157,Twitter,1950,Content of post #157 on Twitter,2023-02-07,3312,167,35
158,TikTok,4303,Content of post #158 on TikTok,2023-02-06,2120,128,133
159,Instagram,4879,Content of post #159 on Instagram,2024-12-08,3331,142,280
160,LinkedIn,4417,Content of post #160 on LinkedIn,2023-03-17,4426,177,446
161,LinkedIn,4540,Content of post #161 on LinkedIn,2023-05-08,4378,122,188
162,LinkedIn,158,Content of post #162 on LinkedIn,2024-07-21,1281,138,66
163,Facebook,2722,Content of post #163 on Facebook,2023-09-07,4806,46,140
164,LinkedIn,2569,Content of post #164 on LinkedIn,2023-01-14,1527,140,251
165,Facebook,2094,Content of post #165 on Facebook,2023-06-22,861,56,497
166,Instagram,161,Content of post #166 on Instagram,2024-12-07,2507,66,427
167,LinkedIn,2180,Content of post #167 on LinkedIn,2023-06-04,1862,104,181
168,TikTok,3262,Content of post #168 on TikTok,2023-10-10,622,137,117
169,Facebook,2187,Content of post #169 on Facebook,2024-03-25,5,38,389
170,Twitter,507,Content of post #170 on Twitter,2024-06-07,2162,10,148
171,Twitter,135,Content of post #171 on Twitter,2023-05-04,4412,30,121
172,Twitter,3845,Content of post #172 on Twitter,2024-10-10,979,177,425
173,Twitter,4560,Content of post #173 on Twitter,2024-11-14,1382,106,144
174,TikTok,1835,Content of post #174 on TikTok,2024-02-11,1260,190,16
175,Instagram,4070,Content of post #175 on Instagram,2024-01-31,841,66,70
176,LinkedIn,4528,Content of post #176 on LinkedIn,2023-04-22,3431,93,412
177,Instagram,1314,Content of post #177 on Instagram,2023-06-26,4990,60,389
178,LinkedIn,1323,Content of post #178 on LinkedIn,2024-10-17,2368,129,303
179,LinkedIn,2306,Content of post #179 on LinkedIn,2024-08-13,1256,144,298
180,Twitter,3975,Content of post #180 on Twitter,2023-12-23,2456,70,33
181,TikTok,1428,Content of post #181 on TikTok,2023-12-11,1677,29,329
182,Instagram,4080,Content of post #182 on Instagram,2024-09-02,3228,26,279
183,Facebook,4000,Content of post #183 on Facebook,2023-05-27,2212,197,203
184,TikTok,1751,Content of post #184 on TikTok,2024-08-23,4185,149,31
185,Instagram,1236,Content of post #185 on Instagram,2023-03-04,4975,61,445
186,TikTok,3193,Content of post #186 on TikTok,2024-07-31,404,56,263
187,TikTok,157,Content of post #187 on TikTok,2024-03-25,4644,105,225
188,Instagram,2777,Content of post #188 on Instagram,2024-09-12,4816,47,462
189,TikTok,766,Content of post #189 on TikTok,2023-03-18,902,125,447
190,Facebook,3967,Content of post #190 on Facebook,2025-02-03,2604,147,390
191,Instagram,4071,Content of post #191 on Instagram,2024-05-17,4920,174,1
192,Instagram,523,Content of post #192 on Instagram,2024-12-19,2516,112,274
193,Facebook,3344,Content of post #193 on Facebook,2023-12-30,625,27,366
194,LinkedIn,3928,Content of post #194 on LinkedIn,2024-01-15,2084,198,64
195,Instagram,16,Content of post #195 on Instagram,2024-03-15,2658,45,138
196,Twitter,4984,Content of post #196 on Twitter,2025-01-13,3545,106,117
197,LinkedIn,3204,Content of post #197 on LinkedIn,2023-07-17,1165,37,454
198,Instagram,1720,Content of post #198 on Instagram,2023-05-10,130,143,145
199,TikTok,718,Content of post #199 on TikTok,2023-09-08,4373,132,108
200,TikTok,715,Content of post #200 on TikTok,2023-12-27,4418,193,411
201,TikTok,1960,Content of post #201 on TikTok,2023-01-08,1129,34,424
202,Twitter,244,Content of post #202 on Twitter,2023-11-17,2337,53,240
203,Instagram,3313,Content of post #203 on Instagram,2023-12-04,2027,183,300
204,Facebook,2350,Content of post #204 on Facebook,2024-09-17,1156,164,165
205,LinkedIn,793,Content of post #205 on LinkedIn,2023-11-14,3529,144,233
206,Instagram,56,Content of post #206 on Instagram,2023-01-11,3186,63,56
207,Facebook,23,Content of post #207 on Facebook,2023-02-26,1702,149,154
208,Twitter,1341,Content of post #208 on Twitter,2024-08-17,3576,17,372
209,Instagram,2349,Content of post #209 on Instagram,2024-04-28,446,118,51
210,Facebook,3645,Content of post #210 on Facebook,2023-08-22,2986,177,347
211,Twitter,1805,Content of post #211 on Twitter,2024-09-02,4420,83,111
212,LinkedIn,1870,Content of post #212 on LinkedIn,2023-08-19,1434,157,405
213,Instagram,2777,Content of post #213 on Instagram,2023-12-14,4189,98,392
214,LinkedIn,4095,Content of post #214 on LinkedIn,2024-12-10,4940,74,492
215,Facebook,497,Content of post #215 on Facebook,2023-09-30,751,92,337
216,Facebook,1464,Content of post #216 on Facebook,2023-11-02,1352,179,312
217,Twitter,3020,Content of post #217 on Twitter,2023-11-12,1693,46,135
218,LinkedIn,716,Content of post #218 on LinkedIn,2023-02-17,4513,46,80
219,Twitter,622,Content of post #219 on Twitter,2023-04-24,4971,104,13
220,TikTok,590,Content of post #220 on TikTok,2025-01-15,2401,195,264
221,TikTok,3253,Content of post #221 on TikTok,2023-11-18,2463,180,336
222,Instagram,2334,Content of post #222 on Instagram,2023-05-22,1603,193,309
223,Instagram,559,Content of post #223 on Instagram,2023-03-04,1559,50,274
224,TikTok,1228,Content of post #224 on TikTok,2024-04-11,2973,144,395
225,LinkedIn,1258,Content of post #225 on LinkedIn,2024-04-15,4375,147,259
226,TikTok,3875,Content of post #226 on TikTok,2023-12-11,3579,71,53
227,Instagram,325,Content of post #227 on Instagram,2023-03-27,255,106,459
228,TikTok,3059,Content of post #228 on TikTok,2024-11-26,2496,74,443
229,Facebook,4362,Content of post #229 on Facebook,2023-11-30,686,78,326
230,Twitter,1352,Content of post #230 on Twitter,2025-01-27,3555,111,427
231,TikTok,2117,Content of post #231 on TikTok,2023-01-28,4946,130,406
232,Facebook,1616,Content of post #232 on Facebook,2023-04-27,2355,191,32
233,LinkedIn,4420,Content of post #233 on LinkedIn,2025-01-23,898,160,258
234,Instagram,2303,Content of post #234 on Instagram,2024-02-11,631,139,375
235,LinkedIn,1266,Content of post #235 on LinkedIn,2023-04-29,465,38,467
236,TikTok,1236,Content of post #236 on TikTok,2024-12-02,1110,169,351
237,Instagram,4072,Content of post #237 on Instagram,2024-04-08,2513,65,21
238,LinkedIn,109,Content of post #238 on LinkedIn,2023-10-19,3965,155,373
239,Instagram,1254,Content of post #239 on Instagram,2023-08-05,1336,125,122
240,LinkedIn,4116,Content of post #240 on LinkedIn,2023-03-24,3676,125,60
241,LinkedIn,2901,Content of post #241 on LinkedIn,2023-01-31,1464,110,267
242,LinkedIn,433,Content of post #242 on LinkedIn,2023-01-15,4783,192,209
243,TikTok,2406,Content of post #243 on TikTok,2024-09-08,4667,139,223
244,Facebook,1260,Content of post #244 on Facebook,2024-07-08,4487,43,118
245,Instagram,4203,Content of post #245 on Instagram,2024-07-16,1770,16,442
246,LinkedIn,4805,Content of post #246 on LinkedIn,2023-09-07,1450,147,232
247,Instagram,1309,Content of post #247 on Instagram,2024-01-26,3793,54,59
248,TikTok,237,Content of post #248 on TikTok,2023-12-10,1523,66,169
249,Twitter,3271,Content of post #249 on Twitter,2023-07-15,1817,29,218
250,Facebook,4330,Content of post #250 on Facebook,2023-11-24,3944,197,147
251,Twitter,1395,Content of post #251 on Twitter,2024-11-07,4380,97,4
252,Twitter,1968,Content of post #252 on Twitter,2024-07-30,4400,181,83
253,Facebook,2754,Content of post #253 on Facebook,2024-01-26,1503,72,84
254,Instagram,2994,Content of post #254 on Instagram,2023-04-06,4597,105,240
255,LinkedIn,4941,Content of post #255 on LinkedIn,2024-07-11,3273,102,6
256,TikTok,1615,Content of post #256 on TikTok,2023-05-02,864,187,20
257,Facebook,1699,Content of post #257 on Facebook,2023-01-17,249,93,382
258,Twitter,2283,Content of post #258 on Twitter,2023-01-07,319,51,106
259,TikTok,4415,Content of post #259 on TikTok,2023-06-29,986,188,364
260,Twitter,1088,Content of post #260 on Twitter,2023-02-06,4386,138,58
261,Twitter,3327,Content of post #261 on Twitter,2024-08-05,1585,146,390
262,LinkedIn,3381,Content of post #262 on LinkedIn,2024-05-27,1016,142,481
263,TikTok,1393,Content of post #263 on TikTok,2023-04-25,412,115,359
264,TikTok,606,Content of post #264 on TikTok,2024-06-17,3363,160,207
265,TikTok,2644,Content of post #265 on TikTok,2024-07-18,3896,2,366
266,LinkedIn,313,Content of post #266 on LinkedIn,2024-08-12,4699,155,251
267,Instagram,4649,Content of post #267 on Instagram,2023-07-17,70,95,54
268,LinkedIn,4910,Content of post #268 on LinkedIn,2024-03-31,238,47,394
269,Twitter,4805,Content of post #269 on Twitter,2023-07-10,4575,44,342
270,Instagram,1929,Content of post #270 on Instagram,2023-11-11,4239,162,212
271,Facebook,2054,Content of post #271 on Facebook,2023-12-29,1442,79,350
272,Twitter,823,Content of post #272 on Twitter,2023-11-07,3983,188,184
273,Instagram,3303,Content of post #273 on Instagram,2024-07-13,1980,199,497
274,TikTok,2709,Content of post #274 on TikTok,2024-09-23,3472,97,112
275,Instagram,1980,Content of post #275 on Instagram,2023-11-15,4476,43,395
276,Facebook,2419,Content of post #276 on Facebook,2024-12-11,4705,65,49
277,Twitter,4775,Content of post #277 on Twitter,2024-01-24,2140,112,249
278,Instagram,1555,Content of post #278 on Instagram,2023-09-16,1541,19,368
279,Twitter,798,Content of post #279 on Twitter,2024-09-02,4999,9,393
280,Instagram,2294,Content of post #280 on Instagram,2023-04-12,2951,120,2
281,Facebook,2911,Content of post #281 on Facebook,2025-01-30,1499,143,235
282,TikTok,612,Content of post #282 on TikTok,2024-12-12,3568,152,356
283,Facebook,3490,Content of post #283 on Facebook,2024-11-05,465,50,203
284,Twitter,3986,Content of post #284 on Twitter,2024-10-08,801,82,364
285,LinkedIn,3337,Content of post #285 on LinkedIn,2023-05-15,4112,110,339
286,TikTok,3433,Content of post #286 on TikTok,2023-03-26,220,44,289
287,LinkedIn,1563,Content of post #287 on LinkedIn,2023-08-25,2170,6,28
288,TikTok,2517,Content of post #288 on TikTok,2024-01-07,4624,167,266
289,Twitter,4663,Content of post #289 on Twitter,2023-08-20,31,11,253
290,LinkedIn,335,Content of post #290 on LinkedIn,2023-10-03,2542,83,393
291,Facebook,3557,Content of post #291 on Facebook,2024-04-05,2040,175,304
292,TikTok,2056,Content of post #292 on TikTok,2024-05-08,4746,162,111
293,Facebook,3373,Content of post #293 on Facebook,2023-03-22,4196,42,437
294,Facebook,3054,Content of post #294 on Facebook,2024-08-14,4506,104,456
295,LinkedIn,3907,Content of post #295 on LinkedIn,2023-07-26,1072,128,393
296,Facebook,4583,Content of post #296 on Facebook,2024-11-04,667,53,119
297,LinkedIn,1338,Content of post #297 on LinkedIn,2024-09-06,4902,66,91
298,Instagram,3097,Content of post #298 on Instagram,2024-11-28,178,106,90
299,Instagram,1362,Content of post #299 on Instagram,2024-04-18,1716,177,221
300,LinkedIn,2114,Content of post #300 on LinkedIn,2023-07-10,4814,120,434
301,TikTok,1698,Content of post #301 on TikTok,2024-10-06,4737,28,276
302,LinkedIn,1305,Content of post #302 on LinkedIn,2023-09-09,292,32,121
303,Twitter,4026,Content of post #303 on Twitter,2024-07-19,3393,104,123
304,TikTok,3002,Content of post #304 on TikTok,2024-11-22,708,179,290
305,Instagram,2165,Content of post #305 on Instagram,2024-07-22,3902,5,472
306,TikTok,1375,Content of post #306 on TikTok,2024-06-03,1497,188,318
307,Facebook,2427,Content of post #307 on Facebook,2025-01-17,1125,163,50
308,Twitter,578,Content of post #308 on Twitter,2023-07-28,3859,164,19
309,Instagram,3047,Content of post #309 on Instagram,2023-04-13,2517,66,96
310,Instagram,241,Content of post #310 on Instagram,2023-04-06,1862,144,199
311,Twitter,3937,Content of post #311 on Twitter,2024-10-18,3371,171,489
312,Instagram,3101,Content of post #312 on Instagram,2024-07-06,3199,94,302
313,Twitter,3368,Content of post #313 on Twitter,2023-10-31,4050,172,208
314,LinkedIn,4752,Content of post #314 on LinkedIn,2024-11-21,733,90,125
315,Facebook,4631,Content of post #315 on Facebook,2024-04-24,3993,111,16
316,Facebook,3421,Content of post #316 on Facebook,2023-10-27,4899,135,50
317,Twitter,4547,Content of post #317 on Twitter,2023-08-15,2935,12,98
318,Facebook,1695,Content of post #318 on Facebook,2024-02-14,2865,144,230
319,Twitter,1314,Content of post #319 on Twitter,2023-04-12,738,197,294
320,Instagram,814,Content of post #320 on Instagram,2024-02-25,4918,46,127
321,Twitter,934,Content of post #321 on Twitter,2023-07-03,4286,15,254
322,Facebook,653,Content of post #322 on Facebook,2025-01-01,2475,176,483
323,LinkedIn,2019,Content of post #323 on LinkedIn,2024-08-23,2788,170,185
324,Facebook,2790,Content of post #324 on Facebook,2023-01-22,1901,155,375
325,Twitter,1404,Content of post #325 on Twitter,2023-08-25,3934,31,454
326,Instagram,4772,Content of post #326 on Instagram,2023-10-05,61,170,91
327,Instagram,28,Content of post #327 on Instagram,2023-08-04,3188,150,235
328,Twitter,1999,Content of post #328 on Twitter,2023-11-15,4039,158,287
329,Facebook,3265,Content of post #329 on Facebook,2025-01-06,167,144,405
330,LinkedIn,3272,Content of post #330 on LinkedIn,2024-01-23,4028,15,499
331,Instagram,4600,Content of post #331 on Instagram,2024-12-28,1776,130,35
332,LinkedIn,1049,Content of post #332 on LinkedIn,2023-06-26,2091,3,224
333,TikTok,260,Content of post #333 on TikTok,2024-07-13,3237,196,407
334,Facebook,4354,Content of post #334 on Facebook,2024-07-08,3983,170,385
335,Twitter,3714,Content of post #335 on Twitter,2023-01-17,4157,149,63
336,TikTok,2198,Content of post #336 on TikTok,2023-06-11,4339,154,243
337,Instagram,4785,Content of post #337 on Instagram,2023-10-23,2908,189,168
338,TikTok,4646,Content of post #338 on TikTok,2023-06-09,20,71,101
339,Instagram,2637,Content of post #339 on Instagram,2023-11-25,4640,129,414
340,Facebook,2414,Content of post #340 on Facebook,2023-04-06,1814,25,92
341,LinkedIn,1803,Content of post #341 on LinkedIn,2023-11-03,4972,117,231
342,TikTok,2849,Content of post #342 on TikTok,2023-03-16,3169,29,422
343,Twitter,3880,Content of post #343 on Twitter,2024-06-17,3337,111,235
344,Twitter,3137,Content of post #344 on Twitter,2024-02-12,4446,93,236
345,TikTok,3295,Content of post #345 on TikTok,2023-01-28,599,199,378
346,LinkedIn,130,Content of post #346 on LinkedIn,2024-11-02,434,168,37
347,Instagram,4462,Content of post #347 on Instagram,2024-04-21,2677,92,297
348,Twitter,3939,Content of post #348 on Twitter,2025-02-02,3423,99,151
349,Facebook,3393,Content of post #349 on Facebook,2024-04-25,4130,156,480
350,TikTok,3897,Content of post #350 on TikTok,2023-09-09,335,119,500
351,Facebook,470,Content of post #351 on Facebook,2023-01-01,7,59,427
352,TikTok,221,Content of post #352 on TikTok,2023-09-09,762,44,381
353,Instagram,2264,Content of post #353 on Instagram,2024-05-23,3640,115,401
354,Facebook,734,Content of post #354 on Facebook,2023-10-26,3100,129,339
355,Twitter,2614,Content of post #355 on Twitter,2023-12-30,687,55,471
356,LinkedIn,2343,Content of post #356 on LinkedIn,2023-09-08,3319,197,359
357,Instagram,163,Content of post #357 on Instagram,2023-12-22,1386,154,420
358,LinkedIn,1436,Content of post #358 on LinkedIn,2023-09-04,3472,25,72
359,Instagram,1120,Content of post #359 on Instagram,2024-11-30,4558,115,479
360,LinkedIn,3715,Content of post #360 on LinkedIn,2023-10-06,3760,188,188
361,TikTok,1,Content of post #361 on TikTok,2024-08-18,2401,197,119
362,LinkedIn,3129,Content of post #362 on LinkedIn,2023-06-15,541,13,37
363,Twitter,843,Content of post #363 on Twitter,2023-11-13,2751,193,478
364,Facebook,1863,Content of post #364 on Facebook,2023-10-27,2537,137,255
365,Twitter,2670,Content of post #365 on Twitter,2024-01-03,2186,54,411
366,Facebook,4641,Content of post #366 on Facebook,2024-08-10,1261,90,462
367,Instagram,1055,Content of post #367 on Instagram,2023-07-10,3110,158,178
368,TikTok,3045,Content of post #368 on TikTok,2024-09-22,2275,193,413
369,Twitter,4331,Content of post #369 on Twitter,2023-05-21,3020,120,444
370,Instagram,4512,Content of post #370 on Instagram,2023-07-31,1580,115,406
371,Twitter,2639,Content of post #371 on Twitter,2024-01-14,1716,90,80
372,Twitter,307,Content of post #372 on Twitter,2023-09-12,1837,9,40
